COMPANY_ID,NAME,PAY_GROUP_ID,Pay Period,Pay Period Begin Date,Pay Period End Date,Deduction Cutoff Date,File Run Date
4229,CUSHMAN  WAKEFIELD,01B0001548,1,26-DEC-22,08-JAN-23,04-JAN-23,04-JAN-23
4229,CUSHMAN  WAKEFIELD,01B0001548,2,09-JAN-23,22-JAN-23,18-JAN-23,18-JAN-23
4229,CUSHMAN  WAKEFIELD,01B0001548,3,23-JAN-23,05-FEB-23,01-FEB-23,01-FEB-23
4229,CUSHMAN  WAKEFIELD,01B0001548,4,06-FEB-23,19-FEB-23,15-FEB-23,15-FEB-23
4229,CUSHMAN  WAKEFIELD,01B0001548,5,20-FEB-23,05-MAR-23,01-MAR-23,01-MAR-23
4229,CUSHMAN  WAKEFIELD,01B0001548,6,06-MAR-23,19-MAR-23,15-MAR-23,15-MAR-23
4229,CUSHMAN  WAKEFIELD,01B0001548,7,20-MAR-23,02-APR-23,29-MAR-23,29-MAR-23
4229,CUSHMAN  WAKEFIELD,01B0001548,8,03-APR-23,16-APR-23,12-APR-23,12-APR-23
4229,CUSHMAN  WAKEFIELD,01B0001548,9,17-APR-23,30-APR-23,26-APR-23,26-APR-23
4229,CUSHMAN  WAKEFIELD,01B0001548,10,01-MAY-23,14-MAY-23,10-MAY-23,10-MAY-23
4229,CUSHMAN  WAKEFIELD,01B0001548,11,15-MAY-23,28-MAY-23,24-MAY-23,24-MAY-23
4229,CUSHMAN  WAKEFIELD,01B0001548,12,29-MAY-23,11-JUN-23,07-JUN-23,07-JUN-23
4229,CUSHMAN  WAKEFIELD,01B0001548,13,26-JUN-23,09-JUL-23,05-JUL-23,05-JUL-23
4229,CUSHMAN  WAKEFIELD,01B0001548,14,10-JUL-23,23-JUL-23,19-JUL-23,19-JUL-23
4229,CUSHMAN  WAKEFIELD,01B0001548,15,24-JUL-23,06-AUG-23,02-AUG-23,02-AUG-23
4229,CUSHMAN  WAKEFIELD,01B0001548,16,07-AUG-23,20-AUG-23,16-AUG-23,16-AUG-23
4229,CUSHMAN  WAKEFIELD,01B0001548,17,21-AUG-23,03-SEP-23,30-AUG-23,30-AUG-23
4229,CUSHMAN  WAKEFIELD,01B0001548,18,04-SEP-23,17-SEP-23,13-SEP-23,13-SEP-23
4229,CUSHMAN  WAKEFIELD,01B0001548,19,18-SEP-23,01-OCT-23,27-SEP-23,27-SEP-23
4229,CUSHMAN  WAKEFIELD,01B0001548,20,02-OCT-23,15-OCT-23,11-OCT-23,11-OCT-23
4229,CUSHMAN  WAKEFIELD,01B0001548,21,16-OCT-23,29-OCT-23,25-OCT-23,25-OCT-23
4229,CUSHMAN  WAKEFIELD,01B0001548,22,30-OCT-23,12-NOV-23,08-NOV-23,08-NOV-23
4229,CUSHMAN  WAKEFIELD,01B0001548,23,13-NOV-23,26-NOV-23,21-NOV-23,21-NOV-23
4229,CUSHMAN  WAKEFIELD,01B0001548,24,27-NOV-23,10-DEC-23,06-DEC-23,06-DEC-23
5191,MAURICES,01B0001587,1,18-DEC-22,31-DEC-22,02-JAN-23,28-DEC-22
5191,MAURICES,01B0001587,2,01-JAN-23,14-JAN-23,14-JAN-23,11-JAN-23
5191,MAURICES,01B0001587,3,15-JAN-23,28-JAN-23,28-JAN-23,25-JAN-23
5191,MAURICES,01B0001587,4,29-JAN-23,11-FEB-23,11-FEB-23,08-FEB-23
5191,MAURICES,01B0001587,5,12-FEB-23,25-FEB-23,25-FEB-23,22-FEB-23
5191,MAURICES,01B0001587,6,26-FEB-23,11-MAR-23,11-MAR-23,08-MAR-23
5191,MAURICES,01B0001587,7,12-MAR-23,25-MAR-23,25-MAR-23,22-MAR-23
5191,MAURICES,01B0001587,8,26-MAR-23,08-APR-23,08-APR-23,05-APR-23
5191,MAURICES,01B0001587,9,09-APR-23,22-APR-23,22-APR-23,19-APR-23
5191,MAURICES,01B0001587,10,23-APR-23,06-MAY-23,06-MAY-23,03-MAY-23
5191,MAURICES,01B0001587,11,07-MAY-23,20-MAY-23,20-MAY-23,17-MAY-23
5191,MAURICES,01B0001587,12,21-MAY-23,03-JUN-23,03-JUN-23,31-MAY-23
5191,MAURICES,01B0001587,13,04-JUN-23,17-JUN-23,17-JUN-23,14-JUN-23
5191,MAURICES,01B0001587,14,18-JUN-23,01-JUL-23,01-JUL-23,28-JUN-23
5191,MAURICES,01B0001587,15,02-JUL-23,15-JUL-23,15-JUL-23,12-JUL-23
5191,MAURICES,01B0001587,16,16-JUL-23,29-JUL-23,29-JUL-23,26-JUL-23
5191,MAURICES,01B0001587,17,30-JUL-23,12-AUG-23,12-AUG-23,09-AUG-23
5191,MAURICES,01B0001587,18,13-AUG-23,26-AUG-23,26-AUG-23,23-AUG-23
5191,MAURICES,01B0001587,19,27-AUG-23,09-SEP-23,09-SEP-23,06-SEP-23
5191,MAURICES,01B0001587,20,10-SEP-23,23-SEP-23,23-SEP-23,20-SEP-23
5191,MAURICES,01B0001587,21,24-SEP-23,07-OCT-23,07-OCT-23,04-OCT-23
5191,MAURICES,01B0001587,22,08-OCT-23,21-OCT-23,21-OCT-23,18-OCT-23
5191,MAURICES,01B0001587,23,22-OCT-23,04-NOV-23,04-NOV-23,01-NOV-23
5191,MAURICES,01B0001587,24,05-NOV-23,18-NOV-23,18-NOV-23,15-NOV-23
5191,MAURICES,01B0001587,25,19-NOV-23,02-DEC-23,02-DEC-23,29-NOV-23
5191,MAURICES,01B0001587,26,03-DEC-23,16-DEC-23,16-DEC-23,13-DEC-23
